class,nodes,distance
2,49229719,3261.527
2,49098666,2809.212
2,49098667,2892.355
2,49098668,3046.734
2,49098672,3396.579
2,49098675,2550.63
2,49098676,2479.851
2,49098677,2312.781
2,49098678,2227.855
2,49098679,2157.187
2,49098680,2132.534
2,49295365,1909.081
2,49295366,1785.36
2,316551199,1973.064
2,287322161,1990.394
2,48967759,2766.068
2,49426534,2267.094
2,49295473,3204.265
2,49295475,3264.137
2,1710764179,2815.538
2,49098926,1293.877
2,1710764216,2700.052
2,49426626,3274.342
2,49426628,3158.474
2,49426629,2924.404
2,49426631,2576.575
2,49426640,1745.588
2,412692733,3384.623
